"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";21100199540;0,136363636363636;"03650359";"18251242";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"AKCE International Journal of Graphs and Combinatorics";19900193225;0,117647058823529;"09728600";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg";27488;0,526315789473684;"00255858";"18658784";"NO Top 10%";7;1;0;"NO Bottom 20%"
"Acta Arithmetica";24100;0,522330097087379;"00651036";"17306264";"NO Top 10%";9;1;0;"NO Bottom 20%"
"Acta Mathematica";24527;3,98461538461538;"00015962";"18712509";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica Hungarica";24529;0,462121212121212;"02365294";"15882632";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Acta Mathematica Scientia";24531;0,480499219968799;"02529602";"15729087";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Acta Mathematica Sinica, Chinese Series";21100235603;0,12183908045977;"05831431";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"Acta Mathematica Sinica, English Series";24533;0,40922619047619;"14398516";"14397617";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Acta Mathematica Universitatis Comenianae";76019;0,129496402877698;"08629544";"13360310";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Acta Mathematica Vietnamica";21100199843;0,384615384615385;"02514184";0;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Acta et Commentationes Universitatis Tartuensis de Mathematica";21100329307;0,0526315789473684;"14062283";"22284699";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Advanced Studies in Contemporary Mathematics (Kyungshang)";10600153363;0,285714285714286;"12293067";"25087908";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Advances in Applied Mathematics";24556;0,778481012658228;"01968858";"10902074";6;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Group Theory and Applications";21100915265;0,117647058823529;"24991287";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Advances in Mathematics";24570;1,65162644281217;"00018708";"10902082";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Mathematics of Communications";18800156711;0,6125;"19305346";"19305338";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Pure and Applied Mathematics";21100199335;0,232142857142857;"18671152";"18696090";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Aequationes Mathematicae";24573;0,455263157894737;"00019054";"14208903";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Afrika Matematika";21100228566;0,142300194931774;"10129405";"21907668";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Algebra Colloquium";24616;0,35472972972973;"10053867";0;"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Algebra Universalis";24618;0,436065573770492;"00025240";"14208911";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Algebra and Discrete Mathematics";21100206241;0,179824561403509;"17263255";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Algebra and Number Theory";19700175257;1,21511627906977;"19370652";0;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Algebras and Representation Theory";24620;0,627968337730871;"1386923X";"15729079";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"American Journal of Mathematics";24654;1,68831168831169;"00029327";"10806377";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"American Mathematical Monthly";24656;0,233024691358025;"00029890";"19300972";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica";19700175303;0,100401606425703;"12218421";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Analysis Mathematica";24691;0,326388888888889;"01333852";"1588273X";"NO Top 10%";"NO 10% - 35%";10;1;0
"Annales Polonici Mathematici";20900195109;0,397260273972603;"00662216";"17306272";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Annales Scientifiques de l'Ecole Normale Superieure";25959;2,22543352601156;"00129593";0;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annales de l'Institut Fourier";23199;0,969849246231156;"03730956";0;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annali dell'Universita di Ferrara";7000153270;0,355371900826446;"04303202";"18271510";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Annali della Scuola normale superiore di Pisa - Classe di scienze";4700151702;1,06614785992218;"0391173X";"20362145";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annali di Matematica Pura ed Applicata";6200180175;1,0081466395112;"03733114";"16181891";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of Mathematics";24721;5,25358851674641;"0003486X";"19398980";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annals of the Academy of Romanian Scientists: Series on Mathematics and its Applications";20300195018;0,105882352941176;"20665997";"20666594";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";27;0
"Applicable Algebra in Engineering, Communications and Computing";28048;0,489510489510489;"09381279";"14320622";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Applied Categorical Structures";28049;0,526748971193416;"09272852";"15729095";"NO Top 10%";7;1;0;"NO Bottom 20%"
"Applied Mathematics and Computation";25170;0,605943415428455;"00963003";"18735649";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Archiv der Mathematik";25206;0,514331210191083;"0003889X";"14208938";"NO Top 10%";13;1;0;"NO Bottom 20%"
"Archivum Mathematicum";25210;0,142857142857143;"00448753";"12125059";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Arkiv for Matematik";25213;0,884615384615385;"00042080";"18712487";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Ars Combinatoria";25215;0,141891891891892;"03817032";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Asian-European Journal of Mathematics";21100198431;0,15839243498818;"17935571";"17937183";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Asymptotic Analysis";25239;0,738515901060071;"09217134";"18758576";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni";24096;1,03592814371258;"11206330";"17200768";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Australasian Journal of Combinatorics";17700155817;0,338785046728972;"10344942";"22023518";"NO Top 10%";"NO 10% - 35%";5;1;0
"Azerbaijan Journal of Mathematics";21100285045;0,231481481481481;"22186816";"22219501";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Beitrage zur Algebra und Geometrie";25262;0,280155642023346;"01384821";"21910383";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Boletim da Sociedade Paranaense de Matematica";19700201433;0,144578313253012;"00378712";"21751188";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Boletin de la Sociedad Matematica Mexicana";65749;0,212643678160919;"00378615";"1405213X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Bolletino dell Unione Matematica Italiana";11300153723;0,5;"19726724";"21982759";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Buletinul Academiei de Stiinte a Republicii Moldova. Matematica";19900192610;0,0638297872340425;"10247696";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie";19700175301;0,209424083769633;"12203874";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Bulletin de la Societe Mathematique de France";26886;0,71551724137931;"00379484";0;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Bulletin des Sciences Mathematiques";25286;0,693877551020408;"00074497";0;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Bulletin of the Australian Mathematical Society";25244;0,361153262518968;"00049727";"17551633";"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Bulletin of the Belgian Mathematical Society - Simon Stevin";25266;0,327205882352941;"13701444";0;"NO Top 10%";"NO 10% - 35%";7;1;0
"Bulletin of the Brazilian Mathematical Society";79372;0,410041841004184;"16787544";"16787714";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Bulletin of the Iranian Mathematical Society";15900154754;0,17027417027417;"10186301";"1017060X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Bulletin of the Korean Mathematical Society";4000148822;0,258411843876178;"10158634";"22343016";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Bulletin of the Kyushu Institute of Technology - Pure and Applied Mathematics";21100236827;0,3;"13438670";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Bulletin of the London Mathematical Society";24481;0,823300970873786;"00246093";"14692120";4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Bulletin of the Malaysian Mathematical Sciences Society";17600155053;0,422680412371134;"01266705";"21804206";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Bulletin of the Transilvania University of Brasov, Series III: Mathematics, Informatics, Physics";20500195045;0,0201342281879194;"20652151";"2065216X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Canadian Journal of Mathematics";101474;0,9;"0008414X";"14964279";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Canadian Mathematical Bulletin";25329;0,545012165450122;"00084395";"14964287";"NO Top 10%";4;1;0;"NO Bottom 20%"
"Carpathian Journal of Mathematics";19700175588;0,328947368421053;"15842851";"18434401";"NO Top 10%";"NO 10% - 35%";7;1;0
"Chaos, Solitons and Fractals";25347;0,232662192393736;"09600779";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Collectanea Mathematica";5600157643;0,676258992805755;"00100757";"20384815";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Colloquium Mathematicum";21100199542;0,400932400932401;"00101354";"17306302";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Commentarii Mathematici Helvetici";25787;1,19858156028369;"00102571";"14208946";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Commentationes Mathematicae Universitatis Carolinae";20000195079;0,222748815165877;"00102628";"12137243";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Communications in Algebra";25800;0,454309449636552;"00927872";"15324125";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Communications in Mathematical Physics";27437;1,62482065997131;"00103616";"14320916";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Compositio Mathematica";25826;1,58968058968059;"0010437X";"15705846";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Comptes Rendus Mathematique";24095;0,636363636363636;"1631073X";"17783569";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Czechoslovak Mathematical Journal";25840;0,33756345177665;"00114642";"15729141";"NO Top 10%";"NO 10% - 35%";5;1;0
"Demonstratio Mathematica";21100836176;0,24;"04201213";"23914661";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Discrete Mathematics";25892;0,650723725613593;"0012365X";0;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Dissertationes Mathematicae";21100199568;0,902439024390244;"00123862";"17306310";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Documenta Mathematica";145273;0,962962962962963;"14310635";"14310643";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Doklady Mathematics";25924;0,297082228116711;"10645624";"15318362";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Duke Mathematical Journal";25936;2,76119402985075;"00127094";"15477398";1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Electronic Journal of Combinatorics";26389;0,622493461203139;"10778926";"10971440";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Electronic Journal of Linear Algebra";26394;0,429967426710098;"10813810";"10813810";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Eurasian Mathematical Journal";21100336501;0,168831168831169;"20779879";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"European Journal of Combinatorics";26445;0,756462585034014;"01956698";"10959971";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Experimental Mathematics";26448;0,580487804878049;"10586458";"1944950X";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Expositiones Mathematicae";26451;0,6875;"07230869";0;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Fibonacci Quarterly";26467;0,34412955465587;"00150517";0;"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Filomat";19900192450;0,301587301587301;"03545180";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Finite Fields and Their Applications";26480;0,947058823529412;"10715797";"10902465";2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Forum Mathematicum";26488;0,740740740740741;"09337741";"14355337";"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Functiones et Approximatio, Commentarii Mathematici";21100284506;0,343915343915344;"02086573";"20809433";"NO Top 10%";"NO 10% - 35%";5;1;0
"Fundamenta Mathematicae";26527;0,637323943661972;"00162736";"17306329";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Geometriae Dedicata";26578;0,61569416498994;"00465755";"15729168";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Georgian Mathematical Journal";6100152706;0,237226277372263;"15729176";"1072947X";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Glasgow Mathematical Journal";26585;0,502164502164502;"00170895";"1469509X";"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Glasnik Matematicki";4700152292;0,347222222222222;"0017095X";0;"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Graphs and Combinatorics";28476;0,416781292984869;"09110119";"14355914";"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
